anchor,id1,pos,id2,neg,id3
056279.jpg,1,108998.jpg,1,030848.jpg,496
024091.jpg,1,000023.jpg,1,093653.jpg,9313
122082.jpg,3,045833.jpg,3,188283.jpg,7200
110393.jpg,3,021233.jpg,3,178433.jpg,4643
101388.jpg,4,056784.jpg,4,105432.jpg,2988
143743.jpg,4,107918.jpg,4,079773.jpg,5029
093187.jpg,5,101049.jpg,5,141930.jpg,52
018771.jpg,5,093951.jpg,5,151909.jpg,6247
122677.jpg,6,003289.jpg,6,165740.jpg,4441
147869.jpg,6,122930.jpg,6,103819.jpg,6147
140464.jpg,7,091155.jpg,7,168229.jpg,620
020284.jpg,7,003099.jpg,7,111670.jpg,2306
108789.jpg,8,100773.jpg,8,073767.jpg,9544
094456.jpg,8,137740.jpg,8,094731.jpg,2060
038345.jpg,10,010990.jpg,10,073824.jpg,6118
090423.jpg,10,150519.jpg,10,117513.jpg,1035
028512.jpg,12,094568.jpg,12,189375.jpg,6814
046666.jpg,12,028858.jpg,12,023205.jpg,1705
102088.jpg,13,145289.jpg,13,191650.jpg,9739
110430.jpg,13,128227.jpg,13,137603.jpg,1508
122060.jpg,14,092944.jpg,14,059833.jpg,1200
122873.jpg,14,069882.jpg,14,142590.jpg,6050
149126.jpg,15,061494.jpg,15,095572.jpg,5099
084267.jpg,15,013138.jpg,15,022327.jpg,7297
056242.jpg,17,154558.jpg,17,086328.jpg,6995
005700.jpg,17,102744.jpg,17,104946.jpg,4562
170945.jpg,18,165698.jpg,18,031752.jpg,3949
173798.jpg,18,177038.jpg,18,068168.jpg,9237
127377.jpg,19,057907.jpg,19,045887.jpg,8338
059656.jpg,19,023435.jpg,19,154872.jpg,885
033391.jpg,20,122091.jpg,20,196416.jpg,8822
034691.jpg,20,030832.jpg,20,008076.jpg,5766
130690.jpg,21,134124.jpg,21,012912.jpg,5807
115356.jpg,21,124672.jpg,21,193584.jpg,7900
077617.jpg,22,023894.jpg,22,041106.jpg,3795
076966.jpg,22,122837.jpg,22,179563.jpg,2044
102115.jpg,23,051326.jpg,23,029169.jpg,3372
040878.jpg,23,004488.jpg,23,049552.jpg,6634
001505.jpg,24,132900.jpg,24,052717.jpg,9291
028639.jpg,24,137317.jpg,24,148545.jpg,1177
092666.jpg,25,132972.jpg,25,091281.jpg,8123
162243.jpg,25,061105.jpg,25,115306.jpg,5063
122844.jpg,27,125356.jpg,27,148396.jpg,8776
055161.jpg,27,074291.jpg,27,150219.jpg,616
078661.jpg,28,139768.jpg,28,202462.jpg,8381
093967.jpg,28,000835.jpg,28,051608.jpg,8404
124873.jpg,29,121127.jpg,29,050895.jpg,2529
130177.jpg,29,013264.jpg,29,055289.jpg,7850
158860.jpg,30,077612.jpg,30,186102.jpg,4996
135837.jpg,30,070019.jpg,30,153389.jpg,129
147218.jpg,31,128161.jpg,31,199470.jpg,7848
021610.jpg,31,013210.jpg,31,047859.jpg,6836
031019.jpg,32,128090.jpg,32,064963.jpg,359
139912.jpg,32,117579.jpg,32,164504.jpg,730
074285.jpg,33,065326.jpg,33,135370.jpg,9482
125384.jpg,33,036028.jpg,33,016381.jpg,4133
109724.jpg,34,127654.jpg,34,141680.jpg,8382
011199.jpg,34,021567.jpg,34,113845.jpg,7965
041823.jpg,35,113930.jpg,35,066167.jpg,2541
133927.jpg,35,052547.jpg,35,121533.jpg,896
151007.jpg,36,077581.jpg,36,072578.jpg,1443
064740.jpg,36,130648.jpg,36,041972.jpg,6965
159973.jpg,38,066422.jpg,38,131281.jpg,320
126578.jpg,38,128822.jpg,38,106136.jpg,7525
095107.jpg,39,150041.jpg,39,011321.jpg,7229
030136.jpg,39,028633.jpg,39,067693.jpg,4008
130270.jpg,40,055749.jpg,40,091582.jpg,7919
105331.jpg,40,042854.jpg,40,065897.jpg,8609
104780.jpg,41,160665.jpg,41,126249.jpg,8581
010700.jpg,41,076429.jpg,41,159498.jpg,1451
114400.jpg,42,032638.jpg,42,011945.jpg,8389
008779.jpg,42,161413.jpg,42,190853.jpg,5273
079207.jpg,43,104637.jpg,43,164670.jpg,1658
070435.jpg,43,055406.jpg,43,177537.jpg,637
085784.jpg,45,023299.jpg,45,043099.jpg,1101
