person_id	train_folder_path	number_of_train_images	test_folder_path	number_of_test_images
7	/content/drive/MyDrive/?ATN/data_novel/train/wanted/07	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/07	3
8	/content/drive/MyDrive/?ATN/data_novel/train/wanted/08	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/08	4
12	/content/drive/MyDrive/?ATN/data_novel/train/wanted/12	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/12	4
13	/content/drive/MyDrive/?ATN/data_novel/train/wanted/13	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/13	4
14	/content/drive/MyDrive/?ATN/data_novel/train/wanted/14	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/14	4
15	/content/drive/MyDrive/?ATN/data_novel/train/wanted/15	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/15	2
16	/content/drive/MyDrive/?ATN/data_novel/train/wanted/16	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/16	4
17	/content/drive/MyDrive/?ATN/data_novel/train/wanted/17	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/17	2
18	/content/drive/MyDrive/?ATN/data_novel/train/wanted/18	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/18	4
23	/content/drive/MyDrive/?ATN/data_novel/train/wanted/23	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/23	7
24	/content/drive/MyDrive/?ATN/data_novel/train/wanted/24	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/24	6
25	/content/drive/MyDrive/?ATN/data_novel/train/wanted/25	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/25	4
26	/content/drive/MyDrive/?ATN/data_novel/train/wanted/26	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/26	5
28	/content/drive/MyDrive/?ATN/data_novel/train/wanted/28	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/28	3
30	/content/drive/MyDrive/?ATN/data_novel/train/wanted/30	3	/content/drive/MyDrive/?ATN/data_novel/test/wanted/30	5
32	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/02	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/02	1
33	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/03	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/03	1
34	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/04	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/04	1
37	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/07	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/07	1
40	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/10	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/10	2
41	/content/drive/MyDrive/?ATN/data_novel/train/unwanted/11	3	/content/drive/MyDrive/?ATN/data_novel/test/unwanted/11	2
